IRN,PAK,AUS,USA,ESP,SUD,,,,,,,,,,,,,,,
0,950.39,0,546.8075,432.21,472.07,,,,,,,,,,,,,,,
93.4,1094.8825,0,556.7725,462.105,496.9825,,,,,,,,,,,,,,,
342.525,1259.305,18914.04638,581.685,551.79,551.79,,,,,,,,,,,,,,,
691.3,1413.7625,25368.626,641.475,631.51,601.615,,,,,,,,,,,,,,,
890.6,1488.5,34553.98931,711.23,805.8975,711.23,,,,,,,,,,,,,,,
1189.55,1304.1475,42249.83425,790.95,990.25,830.81,,,,,,,,,,,,,,,
1388.85,1189.55,47711.40163,880.635,1124.7775,950.39,,,,,,,,,,,,,,,
1289.2,1149.69,47214.8955,900.565,1144.7075,960.355,,,,,,,,,,,,,,,
1139.725,1169.62,39022.54444,885.6175,990.25,915.5125,,,,,,,,,,,,,,,
741.125,1124.7775,29092.42194,800.915,815.8625,790.95,,,,,,,,,,,,,,,
392.35,1000.215,17176.27494,666.3875,586.6675,636.4925,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
