IRN,PAK,AUS,USA,ESP
0,0,89284.41,17282.787,0
137824.83,137824.83,16473.78,74722.284,114363.627
0,40743.99,81194.34,22945.836,18091.794
40743.99,97374.48,56924.13,32653.92,31035.906
73104.27,137824.83,32653.92,43980.018,59351.151
121644.69,154004.97,16473.78,56924.13,89284.41
154004.97,145914.9,8383.71000000001,71486.256,111127.599
137824.83,137824.83,16473.78,74722.284,114363.627
113554.62,121644.69,32653.92,72295.263,89284.41
48834.06,89284.41,48834.06,58542.144,60969.165
0,32653.92,65014.2,36698.955,23754.843
0,293.639999999999,81194.34,17282.787,2720.66100000001
0,0,89284.41,17282.787,0
0,8383.71000000001,89284.41,18900.801,3529.668
0,40743.99,81194.34,22945.836,18091.794
40743.99,97374.48,56924.13,32653.92,31035.906
73104.27,137824.83,32653.92,43980.018,59351.151
121644.69,154004.97,16473.78,56924.13,89284.41
154004.97,145914.9,8383.71000000001,71486.256,111127.599
137824.83,137824.83,16473.78,74722.284,114363.627
113554.62,121644.69,32653.92,72295.263,89284.41
48834.06,89284.41,48834.06,58542.144,60969.165
0,32653.92,65014.2,36698.955,23754.843
0,293.639999999999,81194.34,17282.787,2720.66100000001
0,0,89284.41,17282.787,0
0,8383.71000000001,89284.41,18900.801,3529.668
0,40743.99,81194.34,22945.836,18091.794
40743.99,97374.48,56924.13,32653.92,31035.906
73104.27,137824.83,32653.92,43980.018,59351.151
121644.69,154004.97,16473.78,56924.13,89284.41
154004.97,145914.9,8383.71000000001,71486.256,111127.599
137824.83,137824.83,16473.78,74722.284,114363.627
113554.62,121644.69,32653.92,72295.263,89284.41
48834.06,89284.41,48834.06,58542.144,60969.165
0,32653.92,65014.2,36698.955,23754.843
0,293.639999999999,81194.34,17282.787,2720.66100000001
0,0,89284.41,17282.787,0
0,8383.71000000001,89284.41,18900.801,3529.668
0,40743.99,81194.34,22945.836,18091.794
40743.99,97374.48,56924.13,32653.92,31035.906
73104.27,137824.83,32653.92,43980.018,59351.151
121644.69,154004.97,16473.78,56924.13,89284.41
154004.97,145914.9,8383.71000000001,71486.256,111127.599
137824.83,137824.83,16473.78,74722.284,114363.627
113554.62,121644.69,32653.92,72295.263,89284.41
48834.06,89284.41,48834.06,58542.144,60969.165
0,32653.92,65014.2,36698.955,23754.843
0,293.639999999999,81194.34,17282.787,2720.66100000001
0,0,89284.41,17282.787,0
0,8383.71000000001,89284.41,18900.801,3529.668
0,40743.99,81194.34,22945.836,18091.794
40743.99,97374.48,56924.13,32653.92,31035.906
73104.27,137824.83,32653.92,43980.018,59351.151
121644.69,154004.97,16473.78,56924.13,89284.41
154004.97,145914.9,8383.71000000001,71486.256,111127.599
137824.83,137824.83,16473.78,74722.284,114363.627
113554.62,121644.69,32653.92,72295.263,89284.41
48834.06,89284.41,48834.06,58542.144,60969.165
0,32653.92,65014.2,36698.955,23754.843
0,293.639999999999,81194.34,17282.787,2720.66100000001
0,0,89284.41,17282.787,0
0,8383.71000000001,89284.41,18900.801,3529.668
0,40743.99,81194.34,22945.836,18091.794
40743.99,97374.48,56924.13,32653.92,31035.906
73104.27,137824.83,32653.92,43980.018,59351.151
121644.69,154004.97,16473.78,56924.13,89284.41
154004.97,145914.9,8383.71000000001,71486.256,111127.599
137824.83,137824.83,16473.78,74722.284,114363.627
113554.62,121644.69,32653.92,72295.263,89284.41
48834.06,89284.41,48834.06,58542.144,60969.165
0,32653.92,65014.2,36698.955,23754.843
0,293.639999999999,81194.34,17282.787,2720.66100000001
0,0,89284.41,17282.787,0
0,8383.71000000001,89284.41,18900.801,3529.668
0,40743.99,81194.34,22945.836,18091.794
40743.99,97374.48,56924.13,32653.92,31035.906
73104.27,137824.83,32653.92,43980.018,59351.151
121644.69,154004.97,16473.78,56924.13,89284.41
154004.97,145914.9,8383.71000000001,71486.256,111127.599
137824.83,137824.83,16473.78,74722.284,114363.627
113554.62,121644.69,32653.92,72295.263,89284.41
48834.06,89284.41,48834.06,58542.144,60969.165
0,32653.92,65014.2,36698.955,23754.843
0,293.639999999999,81194.34,17282.787,2720.66100000001
0,0,89284.41,17282.787,0
0,8383.71000000001,89284.41,18900.801,3529.668
0,40743.99,81194.34,22945.836,18091.794
40743.99,97374.48,56924.13,32653.92,31035.906
73104.27,137824.83,32653.92,43980.018,59351.151
121644.69,154004.97,16473.78,56924.13,89284.41
154004.97,145914.9,8383.71000000001,71486.256,111127.599
137824.83,137824.83,16473.78,74722.284,114363.627
113554.62,121644.69,32653.92,72295.263,89284.41
48834.06,89284.41,48834.06,58542.144,60969.165
0,32653.92,65014.2,36698.955,23754.843
0,293.639999999999,81194.34,17282.787,2720.66100000001
0,0,89284.41,17282.787,0
0,8383.71000000001,89284.41,18900.801,3529.668
0,40743.99,81194.34,22945.836,18091.794
40743.99,97374.48,56924.13,32653.92,31035.906
73104.27,137824.83,32653.92,43980.018,59351.151
121644.69,154004.97,16473.78,56924.13,89284.41
154004.97,145914.9,8383.71000000001,71486.256,111127.599
137824.83,137824.83,16473.78,74722.284,114363.627
113554.62,121644.69,32653.92,72295.263,89284.41
48834.06,89284.41,48834.06,58542.144,60969.165
0,32653.92,65014.2,36698.955,23754.843
0,293.639999999999,81194.34,17282.787,2720.66100000001
0,0,89284.41,17282.787,0
0,8383.71000000001,89284.41,18900.801,3529.668
0,40743.99,81194.34,22945.836,18091.794
40743.99,97374.48,56924.13,32653.92,31035.906
73104.27,137824.83,32653.92,43980.018,59351.151
121644.69,154004.97,16473.78,56924.13,89284.41
154004.97,145914.9,8383.71000000001,71486.256,111127.599
137824.83,137824.83,16473.78,74722.284,114363.627
113554.62,121644.69,32653.92,72295.263,89284.41
48834.06,89284.41,48834.06,58542.144,60969.165
0,32653.92,65014.2,36698.955,23754.843
0,293.639999999999,81194.34,17282.787,2720.66100000001
0,0,89284.41,17282.787,0
0,8383.71000000001,89284.41,18900.801,3529.668
0,40743.99,81194.34,22945.836,18091.794
40743.99,97374.48,56924.13,32653.92,31035.906
73104.27,137824.83,32653.92,43980.018,59351.151
121644.69,154004.97,16473.78,56924.13,89284.41
154004.97,145914.9,8383.71000000001,71486.256,111127.599
137824.83,137824.83,16473.78,74722.284,114363.627
113554.62,121644.69,32653.92,72295.263,89284.41
48834.06,89284.41,48834.06,58542.144,60969.165
0,32653.92,65014.2,36698.955,23754.843
0,293.639999999999,81194.34,17282.787,2720.66100000001
0,0,89284.41,17282.787,0
0,8383.71000000001,89284.41,18900.801,3529.668
0,40743.99,81194.34,22945.836,18091.794
40743.99,97374.48,56924.13,32653.92,31035.906
73104.27,137824.83,32653.92,43980.018,59351.151
121644.69,154004.97,16473.78,56924.13,89284.41
154004.97,145914.9,8383.71000000001,71486.256,111127.599
137824.83,137824.83,16473.78,74722.284,114363.627
113554.62,121644.69,32653.92,72295.263,89284.41
48834.06,89284.41,48834.06,58542.144,60969.165
0,32653.92,65014.2,36698.955,23754.843
0,293.639999999999,81194.34,17282.787,2720.66100000001
0,0,89284.41,17282.787,0
0,8383.71000000001,89284.41,18900.801,3529.668
0,40743.99,81194.34,22945.836,18091.794
40743.99,97374.48,56924.13,32653.92,31035.906
73104.27,137824.83,32653.92,43980.018,59351.151
121644.69,154004.97,16473.78,56924.13,89284.41
154004.97,145914.9,8383.71000000001,71486.256,111127.599
137824.83,137824.83,16473.78,74722.284,114363.627
113554.62,121644.69,32653.92,72295.263,89284.41
48834.06,89284.41,48834.06,58542.144,60969.165
0,32653.92,65014.2,36698.955,23754.843
0,293.639999999999,81194.34,17282.787,2720.66100000001
